numero_onu,classificacao_onu,proper_shipping_name
1073,2.2,"Oxygen, refrigerated liquid (cryogenic liquid)"
1074,?,(UN No. no longer in use)
1075,2.1,"Petroleum gases, liquefied or Liquefied petroleum gas"
1076,2.3,Phosgene
1077,2.1,"Propylene see also Petroleum gases, liquefied"
1078,2.2,"Refrigerant gases, n.o.s."
1079,2.3,Sulfur dioxide
1080,2.2,Sulfur hexafluoride
1081,2.1,"Tetrafluoroethylene, stabilized"
1082,2.3,"Trifluorochloroethylene, stabilized or Refrigerant gas R 1113"
1083,2.1,"Trimethylamine, anhydrous"
1084,?,(UN No. no longer in use)
1085,2.1,"Vinyl bromide, stabilized"
1086,2.1,"Vinyl chloride, stabilized or Vinyl chloride, stabilized"
1087,2.1,"Vinyl methyl ether, stabilized"
1088,3,Acetal
1089,3,Acetaldehyde
1090,3,Acetone
1091,3,Acetone oils
1092,6.1,"Acrolein, stabilized"
1093,3,"Acrylonitrile, stabilized"
1094,?,(UN No.s no longer in use)
1098,6.1,Allyl alcohol
1099,3,Allyl bromide
1100,3,Allyl chloride
1101,?,(UN No. no longer in use) Diethylaluminium chloride (UN No. no longer in use)[1]
1102,?,(UN No. no longer in use) Triethylaluminium (UN No. no longer in use)[1]
1103,?,(UN No. no longer in use) Trimethylaluminium (UN No. no longer in use)[1]
1104,3,Amyl acetates
1105,3,Pentanols
1106,3,Amylamines
1107,3,Amyl chlorides
1108,3,1-Pentene (n-amylene)
1109,3,Amyl formates
1110,3,n-Amyl methyl ketone
1111,3,Amyl mercaptans
1112,3,Amyl nitrate
1113,3,Amyl nitrites
1114,3,Benzene
1115,?,(UN No. no longer in use) Benzine (UN No. no longer in use)[1]
1116,?,(UN No.s no longer in use)
1118,?,(UN No. no longer in use) Brake fluid (UN No. no longer in use)[1]
1119,?,(UN No. no longer in use)
1120,3,Butanols
1121,?,(UN No.s no longer in use)
1123,3,Butyl acetates
1124,?,(UN No. no longer in use)
1125,3,n-Butylamine
1126,3,1-Bromobutane
1127,3,Chlorobutanes
1128,3,n-Butyl formate
1129,3,Butyraldehyde
1130,3,Camphor oil
1131,3,Carbon disulfide
1132,?,"(UN No. no longer in use) Carbon remover or Carbon remover, liquid (UN No. no longer in use)[1]"
1133,3,"Adhesives, containing a flammable liquid"
1134,3,Chlorobenzene
1135,6.1,Ethylene chlorohydrin
1136,3,"Coal tar distillates, flammable"
1137,?,(UN No. no longer in use) Coal tar distillate (UN No. no longer in use)[1]
1138,?,(UN No. no longer in use)
1139,3,"Coating solution (includes surface treatments or coatings used for industrial or other purposes such as vehicle undercoating, drum or barrel lining)"
1140,?,(UN No.s no longer in use)
1142,?,"(UN No. no longer in use) Flammable liquid preparations, n.o.s. (UN No. no longer in use)[1]"
1143,6.1,"Crotonaldehyde, stabilized"
1144,3,Crotonylene
1145,3,Cyclohexane
1146,3,Cyclopentane
1147,3,Decahydronaphthalene
1148,3,Diacetone alcohol
1149,3,Dibutyl ethers
1150,3,"1,2-Dichloroethylene"
1151,?,(UN No. no longer in use)
1152,3,Dichloropentanes
1153,3,Ethylene glycol diethyl ether
1154,3,Diethylamine
1155,3,Diethyl ether or Ethyl ether
1156,3,Diethyl ketone
1157,3,Diisobutyl ketone
1158,3,Diisopropylamine
1159,3,Diisopropyl ether
1160,3,Dimethylamine solution
1161,3,Dimethyl carbonate
1162,3,Dimethyldichlorosilane
1163,6.1,"Dimethylhydrazine, unsymmetrical"
1164,3,Dimethyl sulfide
1165,3,Dioxane
1166,3,Dioxolane
1167,3,"Divinyl ether, inhibited"
1168,?,"(UN No. no longer in use) Driers or varnish, liquid, n.o.s. (UN No. no longer in use)[1]"
1169,(3),"(UN No. no longer in use) Extracts, aromatic, liquid (UN No. no longer in use)"
1170,3,Ethanol (Ethyl alcohol) or Ethanol solution (Ethyl alcohol solution)
1171,3,Ethylene glycol monoethyl ether
1172,3,Ethylene glycol monoethyl ether acetate
1173,3,Ethyl acetate
1174,?,(UN No. no longer in use)
1175,3,Ethylbenzene
1176,3,Ethyl borate
1177,3,2-Ethylbutyl acetate
1178,3,2-Ethylbutyraldehyde
1179,3,Ethyl butyl ether
1180,3,Ethyl butyrate
1181,6.1,Ethyl chloroacetate
1182,6.1,Ethyl chloroformate
1183,4.3,Ethyldichlorosilane
1184,3,Ethylene dichloride
1185,6.1,"Ethyleneimine, inhibited"
1186,?,(UN No.s no longer in use)
1188,3,Ethylene glycol monomethyl ether
1189,3,Ethylene glycol monomethyl ether acetate
1190,3,Ethyl formate
1191,3,Octyl aldehydes
1192,3,Ethyl lactate
1193,3,Ethyl methyl ketone or Methyl ethyl ketone
1194,3,Ethyl nitrate solutions
1195,3,Ethyl propionate
1196,3,Ethyltrichlorosilane
1197,3,"Extracts, liquid, for flavoring or aroma"
1198,3,"Formaldehyde, solutions, flammable"
1199,6.1,Furaldehydes
1200,?,(UN No. no longer in use)
1201,3,Fusel oil
1202,3,"Gas oil or diesel fuel or heating oil, light"
1203,3,Gasoline or petrol or motor spirit
1204,3,"Nitroglycerin, solution in alcohol, with not more than 1 percent nitroglycerin"
1205,?,(UN No. no longer in use)
1206,3,Heptanes
1207,3,Hexaldehyde
1208,3,Hexanes
1209,?,(UN No. no longer in use)
1210,3,"Printing ink, flammable or Printing ink related material (including printing ink thinning or reducing compound), flammable"
1211,?,(UN No. no longer in use)
1212,3,Isobutanol or isobutyl alcohol
1213,3,Isobutyl acetate
1214,3,Isobutylamine
1215,?,(UN No. no longer in use)
1216,3,Isooctenes
1217,?,(UN No. no longer in use)
1218,3,"Isoprene, inhibited"
1219,3,Isopropanol or isopropyl alcohol
1220,3,Isopropyl acetate
1221,3,Isopropylamine
1222,3,Isopropyl nitrate
1223,3,Kerosene
1224,3,"Ketones, liquid, n.o.s."
1225,?,(UN No. no longer in use)
1226,?,(UN No. no longer in use) Cigarette lighter or Lighter fluid or Lighter fuels or Lighters (UN No. no longer in use)[1]
1227,?,(UN No. no longer in use)
1228,3,"Mercaptans, liquid, flammable, toxic, n.o.s. or mercaptan mixtures, liquid, flammable, toxic, n.o.s."
1229,3,Mesityl oxide
1230,3,Methanol
1231,3,Methyl acetate
1232,?,(UN No. no longer in use) Methyl acetone (UN No. no longer in use)[1]
1233,3,Methylamyl acetate
1234,3,Methylal
1235,3,"Methylamine, aqueous solution"
1236,?,(UN No. no longer in use)
1237,3,Methyl butyrate
1238,6.1,Methyl chloroformate
1239,6.1,Methyl chloromethyl ether
1240,?,(UN No.s no longer in use)
1242,4.3,Methyldichlorosilane
1243,3,Methyl formate
1244,6.1,Methylhydrazine
1245,3,Methyl isobutyl ketone
1246,3,"Methyl isopropenyl ketone, inhibited"
1247,3,"Methyl methacrylate monomer, inhibited"
1248,3,Methyl propionate
1249,3,Methyl propyl ketone
1250,3,Methyltrichlorosilane
1251,6.1,"Methyl vinyl ketone, stabilized"
1252,?,(UN No.s no longer in use)
1255,3,"(UN No. no longer in use) Naphtha, petroleum (UN No. no longer in use)[1]"
1256,3,"(UN No. no longer in use) Naphtha, solvent (UN No. no longer in use)[1]"
1257,?,(UN No. no longer in use) Casinghead gasoline (natural gasoline) (UN No. no longer in use)[1][2]
1258,?,(UN No. no longer in use)
1259,6.1,Nickel carbonyl
1260,?,(UN No. no longer in use)
1261,3,Nitromethane
1262,3,Octanes
1263,3,"Paint-related materials including paint, lacquer, enamel, stain, shellac solutions, varnish, polish, liquid filler, and liquid lacquer base, or paint related material including paint thinning, drying, removing, or reducing compound"
1264,3,Paraldehyde
1265,3,Pentanes
1266,3,Perfumery products with flammable solvents
1267,3,Petroleum crude oil
1268,3,"Petroleum distillates, n.o.s. or petroleum products, n.o.s."
1269,?,(UN No. no longer in use)
1270,(3),"(UN No. no longer in use) petroleum fuel, generally used in Australia where mixed refined petroleum products are carried in the same tanker i.e.: petrol/diesel/kerosene/toluene etc. (UN No. no longer in use)[1][3]"
1271,(3),(UN No. no longer in use) petroleum spirit (UN No. no longer in use)[1][3]
1272,3,Pine oil
1273,?,(UN No. no longer in use)
1274,3,"n-Propanol or propyl alcohol, normal"
1275,3,Propionaldehyde
1276,3,n-Propyl acetate
1277,3,Propylamine
1278,3,Propyl chloride
1279,3,"1,2-Dichloropropane"
1280,3,Propylene oxide
1281,3,Propyl formates
1282,3,Pyridine
1283,?,(UN No.s no longer in use)
1286,3,Rosin oil
1287,3,Rubber solution
1288,3,Shale oil
1289,3,Sodium methylate solutions in alcohol
1290,?,(UN No.s no longer in use)
1292,3,Tetraethyl silicate
1293,3,"Tinctures, medicinal"
1294,3,Toluene
1295,4.3,Trichlorosilane
1296,3,Triethylamine
1297,3,"Trimethylamine, aqueous solutions with not more than 50 percent trimethylamine by mass"
1298,3,Trimethylchlorosilane
1299,3,Turpentine
1300,3,Turpentine substitute or mineral turpentine (Australia)
1301,3,"Vinyl acetate, inhibited"
1302,3,"Vinyl ethyl ether, inhibited"
1303,3,"Vinylidene chloride, inhibited"
1304,3,"Vinyl isobutyl ether, inhibited"
1305,3,"Vinyltrichlorosilane, inhibited"
1306,3,"Wood preservatives, liquid"
1307,3,Xylenes
1308,3,Zirconium suspended in a liquid
1309,4.1,"Aluminium powder, coated"
1310,4.1,"Ammonium picrate, wetted with not less than 10 percent water, by mass"
1311,?,(UN No. no longer in use)
1312,4.1,Borneol
1313,4.1,Calcium resinate
1314,4.1,"Calcium resinate, fused"
1315,?,(UN No.s no longer in use)
1318,4.1,"Cobalt resinate, precipitated"
1319,?,(UN No. no longer in use)
1320,4.1,"Dinitrophenol, wetted with not less than 15 percent water, by mass"
1321,4.1,"Dinitrophenolates, wetted with not less than 15 percent water, by mass"
1322,4.1,"Dinitroresorcinol, wetted with not less than 15 percent water, by mass"
1323,4.1,Ferrocerium
1324,4.1,"Films, nitrocellulose base, gelatine coated (except scrap)"
1325,4.1,"Flammable solids, organic, n.o.s."
1326,4.1,"Hafnium powder, wetted with not less than 25% water (a visible excess of water must be present) (a) mechanically produced, particle size less than 53 micrometres; (b) chemically produced, particle size less than 840 micrometres"
1327,4.1,"Hay, Straw or Bhusa, wet, damp or contaminated with oil"
1328,4.1,Hexamethylenetetramine
1329,?,(UN No. no longer in use)
1330,4.1,Manganese resinate
1331,4.1,"Matches, strike anywhere"
1332,4.1,Metaldehyde
1333,4.1,"Cerium, slabs, ingots, or rods"
1334,4.1,"Naphthalene, crude or Naphthalene, refined"
1335,?,(UN No. no longer in use)
1336,4.1,"Nitroguanidine, wetted or Picrite, wetted with not less than 20 percent water, by mass"
1337,4.1,"Nitrostarch, wetted with not less than 20 percent water, by mass"
1338,4.1,"Phosphorus, amorphous"
1339,4.1,"Phosphorus heptasulfide, free from yellow or white phosphorus"
1340,4.3,"Phosphorus pentasulfide, free from yellow or white phosphorus"
1341,4.1,"Phosphorus sesquisulfide, free from yellow or white phosphorus"
1342,?,(UN No. no longer in use)
1343,4.1,"Phosphorus trisulfide, free from yellow or white phosphorus"
1344,4.1,"Trinitrophenol, wetted with not less than 30 percent water, by mass"
1345,4.1,Rubber scrap or shoddy
1346,4.1,"Silicon powder, amorphous"
1347,4.1,"Silver picrate, wetted with not less than 30 percent water, by mass"
1348,4.1,"Sodium dinitro-o-cresolate, wetted with not less than 15 percent water, by mass"
1349,4.1,"Sodium picramate, wetted with not less than 20 percent water, by mass"
1350,4.1,Sulfur
1351,?,(UN No. no longer in use)
1352,4.1,"Titanium powder, wetted with not less than 25 percent water (a visible excess of water must be present) (a) mechanically produced, particle size less than 53 micrometres; (b) chemically produced, particle size less than 840 micrometres"
1353,4.1,"Fibers or Fabrics impregnated with weakly nitrated nitrocellulose, n.o.s."
1354,4.1,"Trinitrobenzene, wetted with not less than 30 percent water, by mass"
1355,4.1,"Trinitrobenzoic acid, wetted with not less than 30 percent water, by mass"
1356,4.1,"Trinitrotoluene wetted with not less than 30 percent water, by mass"
1357,4.1,"Urea nitrate, wetted with not less than 20 percent water, by mass"
1358,4.1,"Zirconium powder, wetted with not less than 25 percent water (a visible excess of water must be present) (a) mechanically produced, particle size less than 53 micrometres; (b) chemically produced, particle size less than 840 micrometres"
1359,?,"(UN No. no longer in use) Bags, empty and unwashed (UN No. no longer in use)[1]"
1360,4.3,Calcium phosphide
1361,4.2,"Carbon, animal or vegetable origin"
1362,4.2,"Carbon, activated"
1363,4.2,Copra
1364,4.2,"Cotton waste, oily"
1365,4.2,"Cotton, wet"
1366,4.2,(UN No. no longer in use) Diethylzinc (UN No. no longer in use)[1]
1367,?,(UN No. no longer in use) Diethylmagnesium (UN No. no longer in use)[1]
1368,?,(UN No. no longer in use) Dimethylmagnesium (UN No. no longer in use)[1]
1369,4.2,p-Nitrosodimethylaniline
1370,4.2,(UN No. no longer in use) Dimethylzinc (UN No. no longer in use)[1]
1371,?,(UN No. no longer in use) Driers (UN No. no longer in use)[1]
1372,4.2,"Fibers, animal or Fibers, vegetable, burnt, wet or damp"
1373,4.2,"Fibers or Fabrics, animal or vegetable or Synthetic, n.o.s. with animal or vegetable oil"
1374,4.2,"Fish meal, unstabilized or Fish scrap, unstabilized"
1375,?,"(UN No. no longer in use) Fuel, pyrophoric, n.o.s. (UN No. no longer in use)[1]"
1376,4.2,"Iron oxide, spent, or Iron sponge, spent obtained from coal gas purification"
1377,3,Resin (UN No. no longer in use)
1378,4.2,"Metal catalyst, wetted with a visible excess of liquid"
1379,4.2,"Paper, unsaturated oil treated incompletely dried (including carbon paper)"
1380,4.2,Pentaborane
1381,4.2,"Phosphorus, white dry or Phosphorus, white, under water or Phosphorus white, in solution or Phosphorus, yellow dry or Phosphorus, yellow, under water or Phosphorus, yellow, in solution"
1382,4.2,"Potassium sulfide, anhydrous or Potassium sulfide with less than 30 percent water of crystallization"
1383,4.2,"Pyrophoric metals, n.o.s. or Pyrophoric alloys, n.o.s."
1384,4.2,Sodium dithionite or Sodium hydrosulfite
1385,4.2,"Sodium sulfide, anhydrous or Sodium sulfide with less than 30 percent water of crystallization"
1386,4.2,"Seed cake, containing vegetable oil solvent extractions and expelled seeds, with not more than 10 percent of oil and when the amount of moisture is higher than 11 percent, with not more than 20 percent of oil and moisture combined or Seed cake with more than 1.5 percent oil and not more than 11 percent moisture. It is not to be confused with bush bread, which is also referred to as seed cake."
1387,4.2,"Wool waste, wet"
1388,?,(UN No. no longer in use)
1389,4.3,"Alkali metal amalgam, liquid or Alkali metal amalgam, solid"
1390,4.3,Alkali metal amides
1391,4.3,"Alkali metal dispersions, or Alkaline earth metal dispersions"
1392,4.3,Alkaline earth metal amalgams
1393,4.3,"Alkaline earth metal alloys, n.o.s."
1394,4.3,Aluminium carbide
1395,4.3,Aluminium ferrosilicon powder
1396,4.3,"Aluminium powder, uncoated"
1397,4.3,Aluminium phosphide
1398,4.3,"Aluminium silicon powder, uncoated"
1399,4.3,(UN No. no longer in use) Barium (UN No. no longer in use)[1]
1400,4.3,Barium
1401,4.3,Calcium
1402,4.3,Calcium carbide
1403,4.3,Calcium cyanamide with more than 0.1 percent of calcium carbide
1404,4.3,Calcium hydride
1405,4.3,Calcium silicide
1406,?,(UN No. no longer in use) Calcium-Silicon alloy (UN No. no longer in use)[1]
1407,4.3,Caesium or Cesium
1408,4.3,"Ferrosilicon, with 30 percent or more but less than 90 percent silicon"
1409,4.3,"Metal hydrides, water-reactive, n.o.s."
1410,4.3,Lithium aluminium hydride
1411,4.3,"Lithium aluminium hydride, ethereal"
1412,?,"(UN No. no longer in use) Lithium amide, powdered (UN No. no longer in use)[1]"
1413,4.3,Lithium borohydride
1414,4.3,Lithium hydride
1415,4.3,Lithium
1416,?,(UN No. no longer in use)
1417,4.3,Lithium silicon
1418,4.3,"Magnesium, powder or Magnesium alloys, powder"
1419,4.3,Magnesium aluminium phosphide
1420,4.3,"Potassium, metal alloys"
1421,4.3,"Alkali metal alloys, liquid, n.o.s."
1422,4.3,Potassium sodium alloys
1423,4.3,Rubidium
1424,?,(UN No. no longer in use) Sodium amalgam (UN No. no longer in use)[1]
1425,?,(UN No. no longer in use) Sodium amide (UN No. no longer in use)[1]
1426,4.3,Sodium borohydride
1427,4.3,Sodium hydride
1428,4.3,Sodium
1429,?,(UN No. no longer in use) Sodium metal dispersion in organic solvent (UN No. no longer in use)[1]
1430,?,(UN No. no longer in use)
1431,4.2,Sodium methylate
1432,4.3,Sodium phosphide
1433,4.3,Stannic phosphide
1434,4.2,Strontium
1435,4.3,Zinc ashes
1436,4.3,Zinc powder or Zinc dust
1437,4.1,Zirconium hydride
1438,5.1,Aluminium nitrate
1439,5.1,Ammonium dichromate
1440,?,(UN No.s no longer in use)
1442,5.1,Ammonium perchlorate
1443,?,(UN No. no longer in use)
1444,5.1,Ammonium persulfate
1445,5.1,Barium chlorate
1446,5.1,Barium nitrate
1447,5.1,Barium perchlorate
1448,5.1,Barium permanganate
1449,5.1,Barium peroxide
1450,5.1,"Bromates, inorganic, n.o.s."
1451,5.1,Caesium nitrate or Cesium nitrate
1452,5.1,Calcium chlorate
1453,5.1,Calcium chlorite
1454,5.1,Calcium nitrate
1455,5.1,Calcium perchlorate
1456,5.1,Calcium permanganate
1457,5.1,Calcium peroxide
1458,5.1,Chlorate and borate mixtures
1459,5.1,"Chlorate and Magnesium chloride mixtures, solid"
1460,?,(UN No. no longer in use)
1461,5.1,"Chlorates, inorganic, n.o.s."
1462,5.1,"Chlorites, inorganic, n.o.s."
1463,5.1,"Chromium trioxide, anhydrous"
1464,?,(UN No. no longer in use)
1465,5.1,Didymium nitrate
1466,5.1,Ferric nitrate
1467,5.1,Guanidine nitrate
1468,?,(UN No. no longer in use)
1469,5.1,Lead nitrate
1470,5.1,"Lead perchlorate, solid or Lead perchlorate, solution"
1471,5.1,"Lithium hypochlorite, dry or Lithium hypochlorite mixtures, dry"
1472,5.1,Lithium peroxide
1473,5.1,Magnesium bromate
1474,5.1,Magnesium nitrate
1475,5.1,Magnesium perchlorate
1476,5.1,Magnesium peroxide
1477,5.1,"Nitrates, inorganic, n.o.s."
1478,?,(UN No. no longer in use) Sodium nitrate and potash mixtures (UN No. no longer in use)[1]
1479,5.1,"Oxidizing solid, n.o.s."
1480,?,(UN No. no longer in use)
1481,5.1,"Perchlorates, inorganic, n.o.s."
1482,5.1,"Permanganates, inorganic, n.o.s."
1483,5.1,"Peroxides, inorganic, n.o.s."
1484,5.1,Potassium bromate
1485,5.1,Potassium chlorate
1486,5.1,Potassium nitrate
1487,5.1,Potassium nitrate and sodium nitrite mixtures
1488,5.1,Potassium nitrite
1489,5.1,"Potassium perchlorate, solid or Potassium perchlorate, solution"
1490,5.1,Potassium permanganate
1491,5.1,Potassium peroxide
1492,5.1,Potassium persulfate
1493,5.1,Silver nitrate
1494,5.1,Sodium bromate
1495,5.1,Sodium chlorate
1496,5.1,Sodium chlorite
1497,?,(UN No. no longer in use)
1498,5.1,Sodium nitrate
1499,5.1,Sodium nitrate and potassium nitrate mixtures
1500,5.1,Sodium nitrite
1501,?,(UN No. no longer in use)
1502,5.1,Sodium perchlorate
1503,5.1,Sodium permanganate
1504,5.1,Sodium peroxide
1505,5.1,Sodium persulfate
1506,5.1,Strontium chlorate
1507,5.1,Strontium nitrate
1508,5.1,Strontium perchlorate
1509,5.1,Strontium peroxide
1510,5.1,Tetranitromethane
1511,5.1,Urea hydrogen peroxide
1512,5.1,Zinc ammonium nitrite
1513,5.1,Zinc chlorate
1514,5.1,Zinc nitrate
1515,5.1,Zinc permanganate
1516,5.1,Zinc peroxide
1517,4.1,"Zirconium picramate, wetted with not less than 20 percent water, by mass"
1518,?,(UN No.s no longer in use)
1541,6.1,"Acetone cyanohydrin, stabilized"
1542,?,(UN No.s no longer in use)
1544,6.1,"Alkaloids, solid, n.o.s. or Alkaloid salts, solid, n.o.s., toxic"
1545,6.1,"Allyl isothiocyanate, stabilized"
1546,6.1,Ammonium arsenate
1547,6.1,Aniline
1548,6.1,Aniline hydrochloride
1549,6.1,"Antimony compounds, inorganic, solid, n.o.s."
1550,6.1,Antimony lactate
1551,6.1,Antimony potassium tartrate
1552,?,(UN No. no longer in use)
1553,6.1,"Arsenic acid, liquid"
1554,6.1,"Arsenic acid, solid"
1555,6.1,Arsenic bromide
1556,6.1,"Arsenic compounds, liquid, n.o.s. inorganic, including arsenates, n.o.s.; arsenites, n.o.s.; arsenic sulfides, n.o.s.; and organic compounds of arsenic, n.o.s."
1557,6.1,"Arsenic compounds, solid, n.o.s. inorganic, including arsenates, n.o.s.; arsenites, n.o.s.; arsenic sulfides, n.o.s.; and organic compounds of arsenic, n.o.s."
1558,6.1,Arsenic
1559,6.1,Arsenic pentoxide
1560,6.1,Arsenic trichloride
1561,6.1,Arsenic trioxide
1562,6.1,Arsenical dust
1563,?,(UN No. no longer in use)
1564,6.1,"Barium compounds, n.o.s."
1565,6.1,Barium cyanide
1566,6.1,"Beryllium compounds, n.o.s."
1567,6.1,"Beryllium, powder"
1568,?,(UN No. no longer in use)
1569,6.1,Bromoacetone
1570,6.1,Brucine
1571,4.1,"Barium azide, wetted with not less than 50 percent water, by mass"
1572,6.1,Cacodylic acid
1573,6.1,Calcium arsenate
1574,6.1,"Calcium arsenate and calcium arsenite, mixtures, solid"
1575,6.1,Calcium cyanide
1576,?,(UN No. no longer in use)
1577,6.1,Chlorodinitrobenzenes
1578,6.1,"Chloronitrobenzene, ortho, liquid or Chloronitrobenzenes meta or para, solid"
1579,6.1,4-Chloro-o-toluidine hydrochloride
1580,6.1,Chloropicrin
1581,2,Chloropicrin and methyl bromide mixtures
1582,2,Chloropicrin and methyl chloride mixtures
1583,6.1,"Chloropicrin mixtures, n.o.s."
1584,?,(UN No. no longer in use) Cocculus (Indian berry) (UN No. no longer in use)[1]
1585,6.1,Copper acetoarsenite
1586,6.1,Copper arsenite
1587,6.1,Copper cyanide
1588,6.1,"Cyanides, inorganic, solid, n.o.s."
1589,2,"Cyanogen chloride, inhibited"
1590,6.1,"Dichloroanilines, liquid or Dichloroanilines, solid"
1591,6.1,o-Dichlorobenzene
1592,?,(UN No. no longer in use) p-Dichlorobenzene (UN No. no longer in use)[1]
1593,6.1,Dichloromethane
1594,6.1,Diethyl sulfate
1595,6.1,Dimethyl sulfate
1596,6.1,Dinitroanilines
1597,6.1,"Dinitrobenzenes, liquid or Dinitrobenzenes, solid"
1598,6.1,"Dinitro-o-cresol, solid or Dinitro-o-cresol, solution"
1599,6.1,Dinitrophenol solutions
1600,6.1,"Dinitrotoluenes, molten"
1601,6.1,"Disinfectants, solid, toxic, n.o.s."
1602,6.1,"Dyes, liquid, toxic, n.o.s. or Dye intermediates, liquid, toxic, n.o.s."
1603,6.1,Ethyl bromoacetate
1604,8,Ethylenediamine
1605,6.1,Ethylene dibromide
1606,6.1,Ferric arsenate
1607,6.1,Ferric arsenite
1608,6.1,Ferrous arsenate
1609,?,(UN No. no longer in use)
1610,?,"(UN No. no longer in use) Halogenated irritating liquids, n.o.s. (UN No. no longer in use)[1]"
1611,6.1,"Hexaethyl tetraphosphate, liquid or Hexaethyl tetraphosphate, solid"
1612,2,Hexaethyl tetraphosphate and compressed gas mixtures
1613,6.1,"Hydrocyanic acid, aqueous solutions or Hydrogen cyanide, aqueous solutions with not more than 20 percent hydrogen cyanide or Hydrocyanic acid, aqueous solutions with less than 5 percent hydrogen cyanide"
1614,6.1,"Hydrogen cyanide, stabilized with less than 3 percent water and absorbed in a porous inert material"
1615,?,(UN No. no longer in use)
1616,6.1,Lead acetate
1617,6.1,Lead arsenates
1618,6.1,Lead arsenites
1619,?,(UN No. no longer in use)
1620,6.1,Lead cyanide
1621,6.1,London purple
1622,6.1,Magnesium arsenate
1623,6.1,Mercuric arsenate
1624,6.1,Mercuric chloride
1625,6.1,Mercuric nitrate
1626,6.1,Mercuric potassium cyanide
1627,6.1,Mercurous nitrate
1628,?,"(UN No. no longer in use) Mercurous sulfate, solid (UN No. no longer in use)[1]"
1629,6.1,Mercury acetate
1630,6.1,Mercury ammonium chloride
1631,6.1,Mercury benzoate
1632,?,(UN No. no longer in use)
1633,?,(UN No. no longer in use) Mercury bisulfate (UN No. no longer in use)[1]
1634,6.1,Mercury bromides
1635,?,(UN No. no longer in use)
1636,6.1,Mercury cyanide
1637,6.1,Mercury gluconate
1638,6.1,"Mercury iodide, solution or Mercury iodide, solid"
1639,6.1,Mercury nucleate
1640,6.1,Mercury oleate
1641,6.1,Mercury oxide
1642,6.1,"Mercury oxycyanide, desensitized"
1643,6.1,Mercury potassium iodide
1644,6.1,Mercury salicylate
1645,6.1,Mercury sulfates
1646,6.1,Mercury thiocyanate
1647,6.1,"Methyl bromide and ethylene dibromide mixtures, liquid"
1648,3,Acetonitrile
1649,6.1,Motor fuel anti-knock mixtures
1650,6.1,beta-Naphthylamine
1651,6.1,Naphthylthiourea
1652,6.1,Naphthylurea
1653,6.1,Nickel cyanide
1654,6.1,Nicotine
1655,6.1,"Nicotine compounds, solid, n.o.s. or Nicotine preparations, solid, n.o.s."
1656,6.1,Nicotine hydrochloride or Nicotine hydrochloride solution
1657,6.1,Nicotine salicylate
1658,6.1,"Nicotine sulfate, solid or Nicotine sulfate, solution"
1659,6.1,Nicotine tartrate
1660,2,"Nitric oxide, compressed"
1661,6.1,Nitroanilines (o-; m-; p-;)
1662,6.1,Nitrobenzene
1663,6.1,Nitrophenols (o-; m-; p-;)
1664,6.1,"Nitrotoluenes, liquid (o-; m-; p-;) or Nitrotoluenes, solid (o-; m-; p-;)"
1665,6.1,Nitroxylenes (o-; m-; p-;)
1666,?,(UN No.s no longer in use)
1669,6.1,Pentachloroethane
1670,6.1,Perchloromethyl mercaptan
1671,6.1,"Phenol, solid"
1672,6.1,Phenylcarbylamine chloride
1673,6.1,Phenylenediamines (o-; m-; p-;)
1674,6.1,Phenylmercuric acetate
1675,?,(UN No.s no longer in use)
1677,6.1,Potassium arsenate
1678,6.1,Potassium arsenite
1679,6.1,Potassium cuprocyanide
1680,6.1,Potassium cyanide
1681,?,"(UN No. no longer in use) Rodenticides, n.o.s. (UN No. no longer in use)[1]"
1682,?,(UN No. no longer in use)
1683,6.1,Silver arsenite
1684,6.1,Silver cyanide
1685,6.1,Sodium arsenate
1686,6.1,"Sodium arsenite, aqueous solutions"
1687,6.1,Sodium azide
1688,6.1,Sodium cacodylate
1689,6.1,Sodium cyanide
1690,6.1,Sodium fluoride
1691,6.1,Strontium arsenite
1692,6.1,Strychnine or Strychnine salts
1693,6.1,"Tear gas substances, liquid, n.o.s. or Tear gas substances, solid, n.o.s."
1694,6.1,"Bromobenzyl cyanides, liquid or Bromobenzyl cyanides, solid"
1695,6.1,"Chloroacetone, stabilized"
1696,?,(UN No. no longer in use)
1697,6.1,"Chloroacetophenone (CN), liquid or Chloroacetophenone (CN), solid"
1698,6.1,Diphenylaminechloroarsine
1699,6.1,"Diphenylchloroarsine, liquid or Diphenylchloroarsine, solid"
1700,6.1,Tear gas candles
1701,6.1,"Xylyl bromide, liquid"
1702,6.1,"1,1,2,2-Tetrachloroethane"
1703,?,(UN No. no longer in use) Tetraethyl dithiopyrophosphate and compressed gas mixture (UN No. no longer in use)[1]
1704,6.1,Tetraethyl dithiopyrophosphate
1705,?,(UN No. no longer in use) Tetraethyl pyrophosphate and compressed gas mixture (UN No. no longer in use)[1]
1706,?,(UN No. no longer in use)
1707,6.1,"Thallium compounds, n.o.s."
1708,6.1,"Toluidines, liquid"
1709,6.1,"2,4-Toluylenediamine, solid (2,4-Toluenediamine)"
1710,6.1,Trichloroethylene
1711,6.1,"Xylidines, liquid"
1712,6.1,Zinc arsenate or Zinc arsenite or Zinc arsenate and zinc arsenite mixtures
1713,6.1,Zinc cyanide
1714,4.3,Zinc phosphide
1715,8,Acetic anhydride
1716,8,Acetyl bromide
1717,3,Acetyl chloride
1718,8,Butyl acid phosphate
1719,8,"Caustic alkali liquid, n.o.s."
