numero_onu,classificacao_onu,grupo_embalagem,descricao
508,1,,"1-HYDROXYBENZOTRIAZOL, WASSERFREI, trocken oder angefeuchtet mit weniger als 20 Masse-% Wasser"
509,1,,TREIBLADUNGSPULVER
510,1,,RAKETENMOTOREN
511,1,,"SPRENGKAPSELN, ELEKTRONISCH, programmierbar"
512,1,,"SPRENGKAPSELN, ELEKTRONISCH, programmierbar"
513,1,,"SPRENGKAPSELN, ELEKTRONISCH, programmierbar"
1001,2,,"ACETYLEN, GELÖST"
1002,2,,"LUFT, VERDICHTET (DRUCKLUFT)"
1003,2,,"LUFT, TIEFGEKÜHLT, FLÜSSIG"
1005,2,,"AMMONIAK, WASSERFREI"
1006,2,,"ARGON, VERDICHTET"
1008,2,,BORTRIFLUORID
1009,2,,BROMTRIFLUORMETHAN (GAS ALS KÄLTEMITTEL R 13B1)
1010,2,,"BUTADIENE, STABILISIERT oder BUTADIENE UND KOHLENWASSERSTOFF, GEMISCH, STABILISIERT mit mehr als 40 % Butadienen"
1011,2,,BUTAN
1012,2,,BUTEN
1013,2,,KOHLENDIOXID
1016,2,,"KOHLENMONOXID, VERDICHTET"
1017,2,,CHLOR
1018,2,,CHLORDIFLUORMETHAN (GAS ALS KÄLTEMITTEL R 22)
1020,2,,CHLORPENTAFLUORETHAN (GAS ALS KÄLTEMITTEL R 115)
1021,2,,"1-CHLOR-1,2,2,2TETRAFLUORETHAN (GAS ALS KÄLTEMITTEL R 124)"
1022,2,,CHLORTRIFLUORMETHAN (GAS ALS KÄLTEMITTEL R 13)
1023,2,,"STADTGAS, VERDICHTET"
1026,2,,DICYAN
1027,2,,CYCLOPROPAN
1028,2,,DICHLORDIFLUORMETHAN (GAS ALS KÄLTEMITTEL R 12)
1029,2,,DICHLORMONOFLUORMETHAN (GAS ALS KÄLTEMITTEL R 21)
1030,2,,"1,1-DIFLUORETHAN (GAS ALS KÄLTEMITTEL R 152a)"
1032,2,,"DIMETHYLAMIN, WASSERFREI"
1033,2,,DIMETHYLETHER
1035,2,,ETHAN
1036,2,,ETHYLAMIN
1037,2,,ETHYLCHLORID
1038,2,,"ETHYLEN, TIEFGEKÜHLT, FLÜSSIG"
1039,2,,ETHYLMETHYLETHER
1040,2,,ETHYLENOXID
1040,2,,ETHYLENOXID MIT STICKSTOFF bis zu einem Gesamtdruck von 1 MPa (10 bar) bei 50 °C
1041,2,,"ETHYLENOXID UND KOHLENDIOXID, GEMISCH mit mehr als 9 %, aber höchstens 87 % Ethylenoxid"
1043,2,,"DÜNGEMITTEL, LÖSUNG, mit freiem Ammoniak"
1044,2,,FEUERLÖSCHER mit verdichtetem oder verflüssigtem Gas
1045,2,,"FLUOR, VERDICHTET"
1046,2,,"HELIUM, VERDICHTET"
1048,2,,"BROMWASSERSTOFF, WASSERFREI"
1049,2,,"WASSERSTOFF, VERDICHTET"
1050,2,,"CHLORWASSERSTOFF, WASSERFREI"
1051,6.1,I,"CYANWASSERSTOFF, STABILISIERT, mit weniger als 3 % Wasser"
1052,8,I,"FLUORWASSERSTOFF, WASSERFREI"
1053,2,,SCHWEFELWASSERSTOFF
1055,2,,ISOBUTEN
1056,2,,"KRYPTON, VERDICHTET"
1057,2,,FEUERZEUGE mit entzündbarem Gas oder NACHFÜLLPATRONEN FÜR FEUERZEUGE mit entzündbarem Gas
1058,2,,"VERFLÜSSIGTE GASE, nicht entzündbar, überlagert mit Stickstoff, Kohlendioxid oder Luft"
1060,2,,"METHYLACETYLEN UND PROPADIEN, GEMISCH, STABILISIERT (Gemisch P 1) (Gemisch P 2)"
1061,2,,"METHYLAMIN, WASSERFREI"
1062,2,,METHYLBROMID mit höchstens 2 % Chlorpikrin
1063,2,,METHYLCHLORID (GAS ALS KÄLTEMITTEL R 40)
1064,2,,METHYLMERCAPTAN
1065,2,,"NEON, VERDICHTET"
1066,2,,"STICKSTOFF, VERDICHTET"
1067,2,,DISTICKSTOFFTETROXID (STICKSTOFFDIOXID)
1069,2,,NITROSYLCHLORID
1070,2,,DISTICKSTOFFMONOXID
1071,2,,"ÖLGAS, VERDICHTET"
1072,2,,"SAUERSTOFF, VERDICHTET"
1073,2,,"SAUERSTOFF, TIEFGEKÜHLT, FLÜSSIG"
1075,2,,"PETROLEUMGASE, VERFLÜSSIGT"
1076,2,,PHOSGEN
1077,2,,PROPEN
1078,2,,"GAS ALS KÄLTEMITTEL, N.A.G. (Gemisch F 1) (Gemisch F 2) (Gemisch F 3)"
1079,2,,SCHWEFELDIOXID
1080,2,,SCHWEFELHEXAFLUORID
1081,2,,"TETRAFLUORETHYLEN, STABILISIERT"
1082,2,,"CHLORTRIFLUORETHYLEN, STABILISIERT (GAS ALS KÄLTEMITTEL R 1113 )"
1083,2,,"TRIMETHYLAMIN, WASSERFREI"
1085,2,,"VINYLBROMID, STABILISIERT"
1086,2,,"VINYLCHLORID, STABILISIERT"
1087,2,,"VINYLMETHYLETHER, STABILISIERT"
1088,3,II,ACETAL
1089,3,I,ACETALDEHYD
1090,3,II,ACETON
1091,3,II,ACETONÖLE
1092,6.1,I,"ACROLEIN, STABILISIERT"
1093,3,I,"ACRYLNITRIL, STABILISIERT"
1098,6.1,I,ALLYLALKOHOL
1099,3,I,ALLYLBROMID
1100,3,I,ALLYLCHLORID
1104,3,III,AMYLACETATE
1105,3,II,PENTANOLE
1105,3,III,PENTANOLE
1106,3,II,AMYLAMINE
1106,3,III,AMYLAMINE
1107,3,II,AMYLCHLORIDE
1108,3,I,PENT-1-EN (n-AMYLEN)
1109,3,III,AMYLFORMIATE
1110,3,III,n-AMYLMETHYLKETON
1111,3,II,AMYLMERCAPTAN
1112,3,III,AMYLNITRATE
1113,3,II,AMYLNITRITE
1114,3,II,BENZEN
1120,3,II,BUTANOLE
1120,3,III,BUTANOLE
1123,3,II,BUTYLACETATE
1123,3,III,BUTYLACETATE
1125,3,II,n-BUTYLAMIN
1126,3,II,1-BROMBUTAN
1127,3,II,CHLORBUTANE
1128,3,II,n-BUTYLFORMIAT
1129,3,II,BUTYRALDEHYD
1130,3,III,KAMPFERÖL
1131,3,I,KOHLENSTOFFDISULFID
1133,3,I,"KLEBSTOFFE, mit entzündbarem flüssigem Stoff"
1133,3,II,"KLEBSTOFFE, mit entzündbarem flüssigem Stoff (Dampfdruck bei 50 °C grösser als 110 kPa)"
1133,3,II,"KLEBSTOFFE, mit entzündbarem flüssigem Stoff (Dampfdruck bei 50 °C höchstens 110 kPa)"
1133,3,III,"KLEBSTOFFE, mit entzündbarem flüssigem Stoff"
1133,3,III,"KLEBSTOFFE, mit entzündbarem flüssigem Stoff (mit einem Flammpunkt unter 23 °C und viskos gemäss 2.2.3.1.4) (Dampfdruck bei 50 °C grösser als 110 kPa)"
1133,3,III,"KLEBSTOFFE, mit entzündbarem flüssigem Stoff (mit einem Flammpunkt unter 23 °C und viskos gemäss 2.2.3.1.4) (Dampfdruck bei 50 °C höchstens 110 kPa)"
1134,3,III,CHLORBENZEN
1135,6.1,I,ETHYLENCHLORHYDRIN
1136,3,II,"STEINKOHLENTEERDESTILLATE, ENTZÜNDBAR"
1136,3,III,"STEINKOHLENTEERDESTILLATE, ENTZÜNDBAR"
1139,3,I,"SCHUTZANSTRICHLÖSUNG (einschliesslich zu Industrieoder anderen Zwecken verwendete Oberflächenbehandlungen oder Beschichtungen, wie Zwischenbeschichtung für Fahrzeugkarosserien, Auskleidung für Fässer)"
1139,3,II,"SCHUTZANSTRICHLÖSUNG (einschliesslich zu Industrieoder anderen Zwecken verwendete Oberflächenbehandlungen oder Beschichtungen, wie Zwischenbeschichtung für Fahrzeugkarosserien, Auskleidung für Fässer) (Dampfdruck bei 50 °C grösser als 110 kPa)"
1139,3,II,"SCHUTZANSTRICHLÖSUNG (einschliesslich zu Industrieoder anderen Zwecken verwendete Oberflächenbehandlungen oder Beschichtungen, wie Zwischenbeschichtung für Fahrzeugkarosserien, Auskleidung für Fässer) (Dampfdruck bei 50 °C höchstens 110 kPa)"
1139,3,III,"SCHUTZANSTRICHLÖSUNG (einschliesslich zu Industrieoder anderen Zwecken verwendete Oberflächenbehandlungen oder Beschichtungen, wie Zwischenbeschichtung für Fahrzeugkarosserien, Auskleidung für Fässer)"
1139,3,III,"SCHUTZANSTRICHLÖSUNG (einschliesslich zu Industrieoder anderen Zwecken verwendete Oberflächenbehandlungen oder Beschichtungen, wie Zwischenbeschichtung für Fahrzeugkarosserien, Auskleidung für Fässer) (mit einem Flammpunkt unter 23 °C und viskos gemäss 2.2.3.1.4) (Dampfdruck bei 50 °C grösser als 110 kPa)"
1139,3,III,"SCHUTZANSTRICHLÖSUNG (einschliesslich zu Industrieoder anderen Zwecken verwendete Oberflächenbehandlungen oder Beschichtungen, wie Zwischenbeschichtung für Fahrzeugkarosserien, Auskleidung für Fässer) (mit einem Flammpunkt unter 23 °C und viskos gemäss 2.2.3.1.4) (Dampfdruck bei 50 °C höchstens 110 kPa)"
1143,6.1,I,"CROTONALDEHYD oder CROTONALDEHYD, STABILISIERT"
1144,3,I,CROTONYLEN
1145,3,II,CYCLOHEXAN
1146,3,II,CYCLOPENTAN
1147,3,III,DECAHYDRONAPHTHALEN
1148,3,II,DIACETONALKOHOL
1148,3,III,DIACETONALKOHOL
1149,3,III,DIBUTYLETHER
1150,3,II,"1,2-DICHLORETHYLEN"
1152,3,III,DICHLORPENTANE
1153,3,II,ETHYLENGLYCOLDIETHYLETHER
1153,3,III,ETHYLENGLYCOLDIETHYLETHER
1154,3,II,DIETHYLAMIN
1155,3,I,DIETHYLETHER (ETHYLETHER)
1156,3,II,DIETHYLKETON
1157,3,III,DIISOBUTYLKETON
1158,3,II,DIISOPROPYLAMIN
1159,3,II,DIISOPROPYLETHER
1160,3,II,"DIMETHYLAMIN, WÄSSERIGE LÖSUNG"
1161,3,II,DIMETHYLCARBONAT
1162,3,II,DIMETHYLDICHLORSILAN
1163,6.1,I,"DIMETHYLHYDRAZIN, ASYMMETRISCH"
1164,3,II,DIMETHYLSULFID
1165,3,II,DIOXAN
1166,3,II,DIOXOLAN
1167,3,I,"DIVINYLETHER, STABILISIERT"
1170,3,II,"ETHANOL (ETHYLALKOHOL) oder ETHANOL, LÖSUNG (ETHYLALKOHOL, LÖSUNG)"
1170,3,III,"ETHANOL, LÖSUNG (ETHYLALKOHOL, LÖSUNG)"
1171,3,III,ETHYLENGLYCOLMONOETHYLETHER
1172,3,III,ETHYLENGLYCOLMONOETHYLETHERACETAT
1173,3,II,ETHYLACETAT
1175,3,II,ETHYLBENZEN
1176,3,II,TRIETHYLBORAT
1177,3,III,2-ETHYLBUTYLACETAT
1178,3,II,2-ETHYLBUTYRALDEHYD
1179,3,II,ETHYLBUTYLETHER
1180,3,III,ETHYLBUTYRAT
1181,6.1,II,ETHYLCHLORACETAT
1182,6.1,I,ETHYLCHLORFORMIAT
1183,4.3,I,ETHYLDICHLORSILAN
1184,3,II,ETHYLENDICHLORID
1185,6.1,I,"ETHYLENIMIN, STABILISIERT"
1188,3,III,ETHYLENGLYCOLMONOMETHYLETHER
1189,3,III,ETHYLENGLYCOLMONOMETHYLETHERACETAT
1190,3,II,ETHYLFORMIAT
1191,3,III,OCTYLALDEHYDE
1192,3,III,ETHYLLACTAT
1193,3,II,ETHYLMETHYLKETON (METHYLETHYLKETON)
1194,3,I,"ETHYLNITRIT, LÖSUNG"
1195,3,II,ETHYLPROPIONAT
1196,3,II,ETHYLTRICHLORSILAN
1197,3,II,"EXTRAKTE, FLÜSSIG, für Geschmack oder Aroma (Dampfdruck bei 50 °C grösser als 110 kPa)"
1197,3,II,"EXTRAKTE, FLÜSSIG, für Geschmack oder Aroma (Dampfdruck bei 50 °C höchstens 110 kPa)"
1197,3,III,"EXTRAKTE, FLÜSSIG, für Geschmack oder Aroma"
1197,3,III,"EXTRAKTE, FLÜSSIG, für Geschmack oder Aroma (mit einem Flammpunkt unter 23 °C und viskos gemäss 2.2.3.1.4) (Dampfdruck bei 50 °C grösser als 110 kPa)"
1197,3,III,"EXTRAKTE, FLÜSSIG, für Geschmack oder Aroma (mit einem Flammpunkt unter 23 °C und viskos gemäss 2.2.3.1.4) (Dampfdruck bei 50 °C höchstens 110 kPa)"
1198,3,III,"FORMALDEHYDLÖSUNG, ENTZÜNDBAR"
1199,6.1,II,FURALDEHYDE
1201,3,II,FUSELÖL
1201,3,III,FUSELÖL
1202,3,III,"DIESELKRAFTSTOFF oder GASÖL oder HEIZÖL, LEICHT (Flammpunkt höchstens 60 °C)"
1202,3,III,"DIESELKRAFTSTOFF, der Norm EN 590:2013 + A1:2017 entsprechend, oder GASÖL oder HEIZÖL, LEICHT mit einem Flammpunkt gemäss EN 590:2013 + A1:2017"
1202,3,III,"DIESELKRAFTSTOFF oder GASÖL oder HEIZÖL, LEICHT (Flammpunkt über 60 °C bis einschliesslich 100 °C)"
1203,3,II,BENZIN oder OTTOKRAFTSTOFF
1204,3,II,"NITROGLYCERIN, LÖSUNG IN ALKOHOL mit höchstens 1 % Nitroglycerin"
1206,3,II,HEPTANE
1207,3,III,HEXALDEHYD
1208,3,II,HEXANE
1210,3,I,"DRUCKFARBE, entzündbar oder DRUCKFARBZUBEHÖRSTOFFE (einschliesslich Druckfarbverdünnung und -lösemittel), entzündbar"
1210,3,II,"DRUCKFARBE, entzündbar oder DRUCKFARBZUBEHÖRSTOFFE (einschliesslich Druckfarbverdünnung und -lösemittel), entzündbar (Dampfdruck bei 50 °C grösser als 110 kPa)"
1210,3,II,"DRUCKFARBE, entzündbar oder DRUCKFARBZUBEHÖRSTOFFE (einschliesslich Druckfarbverdünnung und -lösemittel), entzündbar (Dampfdruck bei 50 °C höchstens 110 kPa)"
1210,3,III,"DRUCKFARBE, entzündbar oder DRUCKFARBZUBEHÖRSTOFFE (einschliesslich Druckfarbverdünnung und -lösemittel), entzündbar"
1210,3,III,"DRUCKFARBE, entzündbar oder DRUCKFARBZUBEHÖRSTOFFE (einschliesslich Druckfarbverdünnung und -lösemittel), entzündbar (mit einem Flammpunkt unter 23 °C und viskos gemäss 2.2.3.1.4) (Dampfdruck bei 50 °C grösser als 110 kPa)"
1210,3,III,"DRUCKFARBE, entzündbar oder DRUCKFARBZUBEHÖRSTOFFE (einschliesslich Druckfarbverdünnung und -lösemittel), entzündbar (mit einem Flammpunkt unter 23 °C und viskos gemäss 2.2.3.1.4) (Dampfdruck bei 50 °C höchstens 110 kPa)"
1212,3,III,ISOBUTANOL (ISOBUTYLALKOHOL)
1213,3,II,ISOBUTYLACETAT
1214,3,II,ISOBUTYLAMIN
1216,3,II,ISOOCTENE
1218,3,I,"ISOPREN, STABILISIERT"
1219,3,II,ISOPROPANOL (ISOPROPYLALKOHOL)
1220,3,II,ISOPROPYLACETAT
1221,3,I,ISOPROPYLAMIN
1222,3,II,ISOPROPYLNITRAT
1223,3,III,KEROSIN
1224,3,II,"KETONE, FLÜSSIG, N.A.G. (Dampfdruck bei 50 °C grösser als 110 kPa)"
1224,3,II,"KETONE, FLÜSSIG, N.A.G. (Dampfdruck bei 50 °C höchstens 110 kPa)"
1224,3,III,"KETONE, FLÜSSIG, N.A.G."
1228,3,II,"MERCAPTANE, FLÜSSIG, ENTZÜNDBAR, GIFTIG, N.A.G. oder MERCAPTANE, MISCHUNG, FLÜSSIG, ENTZÜNDBAR, GIFTIG, N.A.G."
1228,3,III,"MERCAPTANE, FLÜSSIG, ENTZÜNDBAR, GIFTIG, N.A.G. oder MERCAPTANE, MISCHUNG, FLÜSSIG, ENTZÜNDBAR, GIFTIG, N.A.G."
1229,3,III,MESITYLOXID
1230,3,II,METHANOL
1231,3,II,METHYLACETAT
1233,3,III,METHYLAMYLACETAT
1234,3,II,METHYLAL
1235,3,II,"METHYLAMIN, WÄSSERIGE LÖSUNG"
1237,3,II,METHYLBUTYRAT
1238,6.1,I,METHYLCHLORFORMIAT
1239,6.1,I,METHYLCHLORMETHYLETHER
1242,4.3,I,METHYLDICHLORSILAN
1243,3,I,METHYLFORMIAT
1244,6.1,I,METHYLHYDRAZIN
1245,3,II,METHYLISOBUTYLKETON
1246,3,II,"METHYLISOPROPENYLKETON, STABILISIERT"
1247,3,II,"METHYLMETHACRYLAT, MONOMER, STABILISIERT"
1248,3,II,METHYLPROPIONAT
1249,3,II,METHYLPROPYLKETON
1250,3,II,METHYLTRICHLORSILAN
1251,6.1,I,"METHYLVINYLKETON, STABILISIERT"
1259,6.1,I,NICKELTETRACARBONYL
1261,3,II,NITROMETHAN
1262,3,II,OCTANE
1263,3,I,"FARBE (einschliesslich Farbe, Lack, Emaille, Beize, Schellack, Firnis, Politur, flüssiger Füllstoff und flüssige Lackgrundlage) oder FARBZUBEHÖRSTOFFE (einschliesslich Farbverdünnung und -lösemittel)"
1263,3,II,"FARBE (einschliesslich Farbe, Lack, Emaille, Beize, Schellack, Firnis, Politur, flüssiger Füllstoff und flüssige Lackgrundlage) oder FARBZUBEHÖRSTOFFE (einschliesslich Farbverdünnung und -lösemittel) (Dampfdruck bei 50 °C grösser als 110 kPa)"
1263,3,II,"FARBE (einschliesslich Farbe, Lack, Emaille, Beize, Schellack, Firnis, Politur, flüssiger Füllstoff und flüssige Lackgrundlage) oder FARBZUBEHÖRSTOFFE (einschliesslich Farbverdünnung und -lösemittel) (Dampfdruck bei 50 °C höchstens 110 kPa)"
1263,3,III,"FARBE (einschliesslich Farbe, Lack, Emaille, Beize, Schellack, Firnis, Politur, flüssiger Füllstoff und flüssige Lackgrundlage) oder FARBZUBEHÖRSTOFFE (einschliesslich Farbverdünnung und -lösemittel)"
1263,3,III,"FARBE (einschliesslich Farbe, Lack, Emaille, Beize, Schellack, Firnis, Politur, flüssiger Füllstoff und flüssige Lackgrundlage) oder FARBZUBEHÖRSTOFFE (einschliesslich Farbverdünnung und -lösemittel) (mit einem Flammpunkt unter 23 °C und viskos gemäss 2.2.3.1.4) (Dampfdruck bei 50 °C grösser als 110 kPa)"
1263,3,III,"FARBE (einschliesslich Farbe, Lack, Emaille, Beize, Schellack, Firnis, Politur, flüssiger Füllstoff und flüssige Lackgrundlage) oder FARBZUBEHÖRSTOFFE (einschliesslich Farbverdünnung und -lösemittel) (mit einem Flammpunkt unter 23 °C und viskos gemäss 2.2.3.1.4) (Dampfdruck bei 50 °C höchstens 110 kPa)"
1264,3,III,PARALDEHYD
1265,3,I,"PENTANE, flüssig"
1265,3,II,"PENTANE, flüssig"
1266,3,II,PARFÜMERIEERZEUGNISSE mit entzündbaren Lösungsmitteln (Dampfdruck bei 50 °C grösser als 110 kPa)
1266,3,II,PARFÜMERIEERZEUGNISSE mit entzündbaren Lösungsmitteln (Dampfdruck bei 50 °C höchstens 110 kPa)
1266,3,III,PARFÜMERIEERZEUGNISSE mit entzündbaren Lösungsmitteln
1266,3,III,PARFÜMERIEERZEUGNISSE mit entzündbaren Lösungsmitteln (mit einem Flammpunkt unter 23 °C und viskos gemäss 2.2.3.1.4) (Dampfdruck bei 50 °C grösser als 110 kPa)
1266,3,III,PARFÜMERIEERZEUGNISSE mit entzündbaren Lösungsmitteln (mit einem Flammpunkt unter 23 °C und viskos gemäss 2.2.3.1.4) (Dampfdruck bei 50 °C höchstens 110 kPa)
1267,3,I,ROHERDÖL
1267,3,II,ROHERDÖL (Dampfdruck bei 50 °C grösser als 110 kPa)
1267,3,II,ROHERDÖL (Dampfdruck bei 50 °C höchstens 110 kPa)
1267,3,III,ROHERDÖL
1268,3,I,"ERDÖLDESTILLATE, N.A.G. oder ERDÖLPRODUKTE, N.A.G."
1268,3,II,"ERDÖLDESTILLATE, N.A.G. oder ERDÖLPRODUKTE, N.A.G. (Dampfdruck bei 50 °C grösser als 110 kPa)"
1268,3,II,"ERDÖLDESTILLATE, N.A.G. oder ERDÖLPRODUKTE, N.A.G. (Dampfdruck bei 50 °C höchstens 110 kPa)"
1268,3,III,"ERDÖLDESTILLATE, N.A.G. oder ERDÖLPRODUKTE, N.A.G."
1272,3,III,KIEFERNÖL
1274,3,II,n-PROPANOL (nPROPYLALKOHOL)
1274,3,III,n-PROPANOL (nPROPYLALKOHOL)
1275,3,II,PROPIONALDEHYD
1276,3,II,n-PROPYLACETAT
1277,3,II,PROPYLAMIN
1278,3,II,1-CHLORPROPAN
1279,3,II,"1,2-DICHLORPROPAN"
1280,3,I,PROPYLENOXID
1281,3,II,PROPYLFORMIATE
1282,3,II,PYRIDIN
1286,3,II,HARZÖL (Dampfdruck bei 50 °C grösser als 110 kPa)
1286,3,II,HARZÖL (Dampfdruck bei 50 °C höchstens 110 kPa)
1286,3,III,HARZÖL
1286,3,III,HARZÖL (mit einem Flammpunkt unter 23 °C und viskos gemäss 2.2.3.1.4) (Dampfdruck bei 50 °C grösser als 110 kPa)
1286,3,III,HARZÖL (mit einem Flammpunkt unter 23 °C und viskos gemäss 2.2.3.1.4) (Dampfdruck bei 50 °C höchstens 110 kPa)
1287,3,II,GUMMILÖSUNG (Dampfdruck bei 50 °C grösser als 110 kPa)
1287,3,II,GUMMILÖSUNG (Dampfdruck bei 50 °C höchstens 110 kPa)
1287,3,III,GUMMILÖSUNG
1287,3,III,GUMMILÖSUNG (mit einem Flammpunkt unter 23 °C und viskos gemäss 2.2.3.1.4) (Dampfdruck bei 50 °C grösser als 110 kPa)
1287,3,III,GUMMILÖSUNG (mit einem Flammpunkt unter 23 °C und viskos gemäss 2.2.3.1.4) (Dampfdruck bei 50 °C höchstens 110 kPa)
1288,3,II,SCHIEFERÖL
1288,3,III,SCHIEFERÖL
1289,3,II,"NATRIUMMETHYLAT, LÖSUNG in Alkohol"
1289,3,III,"NATRIUMMETHYLAT, LÖSUNG in Alkohol"
1292,3,III,TETRAETHYLSILICAT
1293,3,II,"TINKTUREN, MEDIZINISCHE"
1293,3,III,"TINKTUREN, MEDIZINISCHE"
1294,3,II,TOLUEN
1295,4.3,I,TRICHLORSILAN
1296,3,II,TRIETHYLAMIN
1297,3,I,"TRIMETHYLAMIN, WÄSSERIGE LÖSUNG mit höchstens 50 Masse-% Trimethylamin"
1297,3,II,"TRIMETHYLAMIN, WÄSSERIGE LÖSUNG mit höchstens 50 Masse-% Trimethylamin"
1297,3,III,"TRIMETHYLAMIN, WÄSSERIGE LÖSUNG mit höchstens 50 Masse-% Trimethylamin"
1298,3,II,TRIMETHYLCHLORSILAN
1299,3,III,TERPENTIN
1300,3,II,TERPENTINÖLERSATZ
1300,3,III,TERPENTINÖLERSATZ
1301,3,II,"VINYLACETAT, STABILISIERT"
1302,3,I,"VINYLETHYLETHER, STABILISIERT"
1303,3,I,"VINYLIDENCHLORID, STABILISIERT"
1304,3,II,"VINYLISOBUTYLETHER, STABILISIERT"
1305,3,II,VINYLTRICHLORSILAN
1306,3,II,"HOLZSCHUTZMITTEL, FLÜSSIG (Dampfdruck bei 50 °C grösser als 110 kPa)"
1306,3,II,"HOLZSCHUTZMITTEL, FLÜSSIG (Dampfdruck bei 50 °C höchstens 110 kPa)"
1306,3,III,"HOLZSCHUTZMITTEL, FLÜSSIG"
1306,3,III,"HOLZSCHUTZMITTEL, FLÜSSIG (mit einem Flammpunkt unter 23 °C und viskos gemäss 2.2.3.1.4) (Dampfdruck bei 50 °C grösser als 110 kPa)"
1306,3,III,"HOLZSCHUTZMITTEL, FLÜSSIG (mit einem Flammpunkt unter 23 °C und viskos gemäss 2.2.3.1.4) (Dampfdruck bei 50 °C höchstens 110 kPa)"
1307,3,II,XYLENE
1307,3,III,XYLENE
1308,3,I,"ZIRKONIUM, SUSPENDIERT IN EINEM ENTZÜNDBAREN FLÜSSIGEN STOFF"
1308,3,II,"ZIRKONIUM, SUSPENDIERT IN EINEM ENTZÜNDBAREN FLÜSSIGEN STOFF (Dampfdruck bei 50 °C grösser als 110 kPa)"
1308,3,II,"ZIRKONIUM, SUSPENDIERT IN EINEM ENTZÜNDBAREN FLÜSSIGEN STOFF (Dampfdruck bei 50 °C höchstens 110 kPa)"
1308,3,III,"ZIRKONIUM, SUSPENDIERT IN EINEM ENTZÜNDBAREN FLÜSSIGEN STOFF"
1309,4.1,II,"ALUMINIUM-PULVER, ÜBERZOGEN"
1309,4.1,III,"ALUMINIUM-PULVER, ÜBERZOGEN"
1310,4.1,I,"AMMONIUMPIKRAT, ANGEFEUCHTET mit mindestens 10 Masse-% Wasser"
1312,4.1,III,BORNEOL
1313,4.1,III,CALCIUMRESINAT
1314,4.1,III,"CALCIUMRESINAT, GESCHMOLZEN und erstarrt"
1318,4.1,III,"COBALTRESINAT, GEFÄLLT"
1320,4.1,I,"DINITROPHENOL, ANGEFEUCHTET mit mindestens 15 Masse-% Wasser"
1321,4.1,I,"DINITROPHENOLATE, ANGEFEUCHTET mit mindestens 15 Masse-% Wasser"
1322,4.1,I,"DINITRORESORCINOL, ANGEFEUCHTET mit mindestens 15 Masse-% Wasser"
1323,4.1,II,CEREISEN
1324,4.1,III,"FILME AUF NITROCELLULOSEBASIS, gelatiniert, ausgenommen Abfälle"
1325,4.1,II,"ENTZÜNDBARER ORGANISCHER FESTER STOFF, N.A.G."
1325,4.1,III,"ENTZÜNDBARER ORGANISCHER FESTER STOFF, N.A.G."
1326,4.1,II,"HAFNIUM-PULVER, ANGEFEUCHTET mit mindestens 25 % Wasser"
1327,4.1,UNTERLIEGT NICHT DEN VORSCHRIFTEN DES ADR,Heu oder Stroh oder Bhusa
1328,4.1,III,HEXAMETHYLENTETRAMIN
1330,4.1,III,MANGANRESINAT
1331,4.1,III,"ZÜNDHÖLZER, ÜBERALL ZÜNDBAR"
1332,4.1,III,METALDEHYD
1333,4.1,II,"CER, Platten, Barren, Stangen"
1334,4.1,III,"NAPHTHALEN, ROH oder NAPHTHALEN, RAFFINIERT"
1336,4.1,I,"NITROGUANIDIN (PICRIT), ANGEFEUCHTET mit mindestens 20 Masse-% Wasser"
1337,4.1,I,"NITROSTÄRKE, ANGEFEUCHTET mit mindestens 20 Masse-% Wasser"
1338,4.1,III,"PHOSPHOR, AMORPH"
1339,4.1,II,"PHOSPHORHEPTASULFID (chemische Formel P4S7), frei von gelbem oder weissem Phosphor"
1340,4.3,II,"PHOSPHORPENTASULFID (chemische Formel P2S5), frei von gelbem oder weissem Phosphor"
1341,4.1,II,"PHOSPHORSESQUISULFID (chemische Formel P4S3), frei von gelbem oder weissem Phosphor"
1343,4.1,II,"PHOSPHORTRISULFID (chemische Formel P4S6), frei von gelbem oder weissem Phosphor"
1344,4.1,I,"TRINITROPHENOL (PIKRINSÄURE), ANGEFEUCHTET mit mindestens 30 Masse-% Wasser"
1345,4.1,II,"KAUTSCHUK- (Gummi-) ABFÄLLE, gemahlen oder KAUTSCHUK- (Gummi-) RESTE, pulverförmig oder granuliert, höchstens 840 μm und mehr als 45 % KautschukGehalt"
1346,4.1,III,"SILICIUM-PULVER, AMORPH"
1347,4.1,I,"SILBERPIKRAT, ANGEFEUCHTET mit mindestens 30 Masse-% Wasser"
1348,4.1,I,"NATRIUMDINITROORTHOCRESOLAT, ANGEFEUCHTET mit mindestens 15 Masse-%"
1349,4.1,I,"NATRIUMPIKRAMAT, ANGEFEUCHTET mit mindestens 20 Masse-% Wasser"
1350,4.1,III,SCHWEFEL
1352,4.1,II,"TITAN-PULVER, ANGEFEUCHTET mit mindestens 25 % Wasser"
1353,4.1,III,"FASERN, IMPRÄGNIERT MIT SCHWACH NITRIERTER CELLULOSE, N.A.G. oder GEWEBE, IMPRÄGNIERT MIT SCHWACH NITRIERTER CELLULOSE, N.A.G."
1354,4.1,I,"TRINITROBENZEN, ANGEFEUCHTET mit mindestens 30 Masse-% Wasser"
1355,4.1,I,"TRINITROBENZOESÄURE, ANGEFEUCHTET mit mindestens 30 Masse-% Wasser"
1356,4.1,I,"TRINITROTOLUEN (TNT), ANGEFEUCHTET mit mindestens 30 Masse-% Wasser"
